respondent_id,first_name,last_name,email,segment,age,city,purchase_frequency_per_month,monthly_beverage_spend_eur,price_sensitivity_1_10,preferred_channel,aware_pulsup,aware_matelibre,aware_voltfit,aware_rootandrise,lumen_purchase_intent_1_10
188,Jonas,Wolf,jonas.wolf188@example.com,Fitness & Gym-Goers,30,Hamburg,4.6,17.09,5.8,Retail/Grocery,0,1,0,1,6.8
189,Max,Lange,max.lange189@example.com,On-the-go Commuters,34,Munich,7.6,12.52,6.5,Gym & Office,1,1,1,0,4.3
190,Marie,Becker,marie.becker190@example.com,Students & Budget-Conscious,18,Other Germany,8.4,12.83,6.1,Retail/Grocery,1,0,1,0,7.4
191,Lukas,Schwarz,lukas.schwarz191@example.com,Students & Budget-Conscious,19,Berlin,5.8,13.1,6.2,DTC Online,1,1,0,0,6.5
192,Lea,Peters,lea.peters192@example.com,Urban Wellness Professionals,31,Other Germany,10.0,24.94,2.7,Retail/Grocery,1,1,0,1,8.0
193,Max,Schmidt,max.schmidt193@example.com,Students & Budget-Conscious,21,Berlin,8.5,17.74,7.2,DTC Online,1,1,0,0,5.1
194,Paul,Becker,paul.becker194@example.com,On-the-go Commuters,48,Munich,1.9,19.28,6.0,Gym & Office,1,1,0,0,6.0
195,Lina,Lange,lina.lange195@example.com,On-the-go Commuters,45,Berlin,8.3,15.76,5.0,Retail/Grocery,1,0,0,0,6.7
196,Anna,Koch,anna.koch196@example.com,Urban Wellness Professionals,26,Other Germany,7.2,24.72,4.7,Gym & Office,1,0,0,0,8.5
197,Marie,Richter,marie.richter197@example.com,Students & Budget-Conscious,19,Hamburg,2.3,22.25,8.8,Retail/Grocery,1,1,1,0,6.4
198,Elias,Wolf,elias.wolf198@example.com,On-the-go Commuters,34,Other Germany,6.5,14.53,7.2,Gym & Office,0,1,0,0,6.9
199,Leon,Koch,leon.koch199@example.com,On-the-go Commuters,49,Munich,8.9,24.49,7.8,DTC Online,1,1,1,0,5.9
200,Nora,Koch,nora.koch200@example.com,Urban Wellness Professionals,34,Berlin,11.0,29.88,1,DTC Online,1,1,0,1,10
201,Mia,Wagner,mia.wagner201@example.com,On-the-go Commuters,39,Other Germany,6.9,15.93,4.1,Retail/Grocery,1,1,1,0,9.1
202,Marie,Wolf,marie.wolf202@example.com,On-the-go Commuters,37,Other Germany,6.9,23.9,5.1,Gym & Office,1,1,0,0,7.0
203,Emma,Braun,emma.braun203@example.com,Students & Budget-Conscious,20,Other Germany,6.7,19.92,7.6,DTC Online,1,0,1,0,6.2
204,Paul,Schwarz,paul.schwarz204@example.com,Urban Wellness Professionals,27,Other Germany,7.9,24.59,1.6,DTC Online,0,0,0,1,10
205,Lukas,Koch,lukas.koch205@example.com,Urban Wellness Professionals,29,Berlin,9.2,14.98,5.1,Retail/Grocery,0,1,0,1,10
206,Lea,Fischer,lea.fischer206@example.com,Students & Budget-Conscious,23,Cologne,1.9,13.13,10,Retail/Grocery,1,0,0,0,4.6
207,Paul,Schulz,paul.schulz207@example.com,Students & Budget-Conscious,23,Hamburg,3.7,12.33,8.9,DTC Online,1,0,0,0,5.1
208,Lea,Zimmermann,lea.zimmermann208@example.com,Urban Wellness Professionals,27,Munich,10.8,13.62,4.3,Retail/Grocery,0,0,0,1,8.9
209,Ida,Lange,ida.lange209@example.com,Urban Wellness Professionals,40,Hamburg,8.9,31.64,3.1,DTC Online,0,1,0,1,10
210,Finn,Koch,finn.koch210@example.com,Urban Wellness Professionals,32,Other Germany,6.2,29.36,2.9,DTC Online,0,1,0,0,7.0
211,Ida,Wolf,ida.wolf211@example.com,Urban Wellness Professionals,30,Berlin,4.0,23.35,4.2,Retail/Grocery,0,0,0,1,9.1
212,Noah,Krueger,noah.krueger212@example.com,On-the-go Commuters,40,Frankfurt,6.0,18.07,6.4,Retail/Grocery,1,0,0,0,6.3
213,Marie,Schmidt,marie.schmidt213@example.com,Students & Budget-Conscious,24,Other Germany,4.5,23.4,9.7,Gym & Office,0,0,0,0,3.1
214,Marie,Becker,marie.becker214@example.com,Urban Wellness Professionals,28,Hamburg,5.7,12.26,5.6,DTC Online,1,0,0,0,9.3
215,Ida,Hoffmann,ida.hoffmann215@example.com,Fitness & Gym-Goers,29,Munich,9.3,21.36,4.0,Gym & Office,0,0,0,0,9.7
216,Max,Koch,max.koch216@example.com,Fitness & Gym-Goers,23,Other Germany,5.7,15.48,5.1,Gym & Office,1,0,1,0,8.2
217,Marie,Braun,marie.braun217@example.com,On-the-go Commuters,46,Other Germany,5.6,16.39,6.9,Gym & Office,0,1,0,0,4.9
218,Clara,Neumann,clara.neumann218@example.com,Students & Budget-Conscious,21,Cologne,5.0,5.75,7.4,DTC Online,1,1,1,0,6.1
219,Finn,Fischer,finn.fischer219@example.com,Students & Budget-Conscious,20,Munich,9.3,20.16,6.5,Gym & Office,0,1,0,0,6.8
220,Noah,Zimmermann,noah.zimmermann220@example.com,Fitness & Gym-Goers,31,Other Germany,6.9,20.95,5.8,Retail/Grocery,0,0,1,1,8.7
221,Leon,Krueger,leon.krueger221@example.com,Students & Budget-Conscious,18,Hamburg,6.2,11.32,8.7,DTC Online,1,1,1,0,5.5
222,Finn,Klein,finn.klein222@example.com,Students & Budget-Conscious,18,Cologne,2.6,20.1,8.3,DTC Online,1,1,0,0,4.5
223,Ben,Richter,ben.richter223@example.com,Students & Budget-Conscious,21,Cologne,4.9,16.89,7.3,DTC Online,1,1,0,0,5.2
224,Jonas,Peters,jonas.peters224@example.com,Students & Budget-Conscious,21,Other Germany,1.3,14.53,6.8,Retail/Grocery,1,0,1,0,5.6
225,Lina,Hoffmann,lina.hoffmann225@example.com,Urban Wellness Professionals,29,Berlin,6.5,23.05,4.2,DTC Online,1,0,1,0,10
226,Mia,Fischer,mia.fischer226@example.com,Students & Budget-Conscious,22,Munich,6.8,15.98,7.0,Retail/Grocery,0,0,0,0,7.1
227,Ida,Wagner,ida.wagner227@example.com,Urban Wellness Professionals,38,Berlin,5.3,24.97,5.0,DTC Online,1,1,1,1,9.5
228,Clara,Becker,clara.becker228@example.com,Fitness & Gym-Goers,19,Berlin,4.9,17.35,4.1,DTC Online,0,1,1,1,9.6
229,Elias,Klein,elias.klein229@example.com,Urban Wellness Professionals,35,Other Germany,9.7,22.61,3.2,Gym & Office,1,0,1,0,9.2
230,Mia,Schulz,mia.schulz230@example.com,Students & Budget-Conscious,21,Other Germany,7.9,14.82,5.3,Retail/Grocery,1,1,0,1,8.0
231,Nora,Weber,nora.weber231@example.com,Fitness & Gym-Goers,30,Berlin,9.3,19.25,6.7,Gym & Office,1,0,1,0,7.7
232,Finn,Weber,finn.weber232@example.com,Urban Wellness Professionals,37,Other Germany,9.5,8.57,3.6,DTC Online,0,1,0,1,10
233,Clara,Schmidt,clara.schmidt233@example.com,On-the-go Commuters,27,Munich,7.8,29.89,6.9,DTC Online,1,1,0,1,5.5
234,Felix,Becker,felix.becker234@example.com,On-the-go Commuters,49,Other Germany,4.4,25.71,4.9,Gym & Office,1,0,0,0,7.4
235,Emma,Braun,emma.braun235@example.com,Urban Wellness Professionals,36,Cologne,9.8,18.13,3.0,DTC Online,0,0,0,1,8.6
236,Finn,Krueger,finn.krueger236@example.com,Fitness & Gym-Goers,27,Munich,6.8,7.69,9.1,Gym & Office,0,0,1,1,3.4
237,Max,Schwarz,max.schwarz237@example.com,Fitness & Gym-Goers,19,Other Germany,4.2,20.13,4.5,DTC Online,1,0,1,1,6.3
238,Ben,Peters,ben.peters238@example.com,Fitness & Gym-Goers,24,Hamburg,5.0,26.97,4.5,Gym & Office,1,0,1,1,8.0
239,Leon,Hoffmann,leon.hoffmann239@example.com,Urban Wellness Professionals,33,Other Germany,4.5,17.06,6.1,DTC Online,0,1,0,1,7.3
240,Felix,Schmidt,felix.schmidt240@example.com,Fitness & Gym-Goers,32,Other Germany,3.7,20.93,6.6,DTC Online,1,0,1,1,7.0
241,Emma,Wolf,emma.wolf241@example.com,Students & Budget-Conscious,24,Berlin,7.1,24.29,6.6,Retail/Grocery,1,0,0,0,5.3
242,Lina,Richter,lina.richter242@example.com,Students & Budget-Conscious,23,Berlin,8.0,12.83,8.6,Gym & Office,1,1,0,0,4.6
243,Lukas,Peters,lukas.peters243@example.com,Urban Wellness Professionals,40,Hamburg,8.9,27.81,3.9,Retail/Grocery,1,0,0,1,9.6
244,Finn,Schwarz,finn.schwarz244@example.com,Fitness & Gym-Goers,29,Munich,6.8,23.52,4.4,DTC Online,1,0,1,0,8.7
245,Felix,Neumann,felix.neumann245@example.com,Fitness & Gym-Goers,22,Hamburg,5.0,29.45,5.5,Gym & Office,1,0,1,1,6.4
246,Lukas,Schwarz,lukas.schwarz246@example.com,Urban Wellness Professionals,28,Hamburg,5.8,20.27,4.2,Gym & Office,0,0,1,0,9.2
247,Sofia,Krueger,sofia.krueger247@example.com,Urban Wellness Professionals,37,Berlin,6.1,23.2,3.2,DTC Online,1,0,0,0,9.7
248,Max,Wagner,max.wagner248@example.com,Urban Wellness Professionals,28,Cologne,10.9,15.58,3.0,Retail/Grocery,0,0,1,1,10
249,Emma,Krueger,emma.krueger249@example.com,Students & Budget-Conscious,22,Cologne,5.1,10.62,8.0,Gym & Office,1,1,1,0,2.5
250,Ben,Braun,ben.braun250@example.com,Fitness & Gym-Goers,21,Other Germany,5.6,16.08,6.6,Gym & Office,1,1,0,0,7.4
251,Lukas,Weber,lukas.weber251@example.com,Fitness & Gym-Goers,21,Other Germany,3.3,21.46,6.6,Gym & Office,0,0,1,0,8.5
252,Lina,Richter,lina.richter252@example.com,Students & Budget-Conscious,21,Hamburg,1.9,9.18,9.0,Gym & Office,1,1,0,0,5.0
253,Ida,Krueger,ida.krueger253@example.com,On-the-go Commuters,28,Hamburg,2.8,21.21,6.6,Retail/Grocery,1,0,0,0,7.7
254,Jonas,Braun,jonas.braun254@example.com,Students & Budget-Conscious,21,Berlin,4.9,11.72,9.0,DTC Online,1,0,0,0,7.0
255,Max,Wagner,max.wagner255@example.com,Fitness & Gym-Goers,28,Cologne,8.5,14.16,3.6,Retail/Grocery,1,0,0,0,9.3
256,Felix,Krueger,felix.krueger256@example.com,Students & Budget-Conscious,19,Cologne,4.3,11.93,8.3,Gym & Office,1,1,0,0,5.3
257,Ida,Braun,ida.braun257@example.com,Students & Budget-Conscious,21,Cologne,5.6,8.18,9.3,DTC Online,1,1,1,0,8.5
258,Max,Klein,max.klein258@example.com,On-the-go Commuters,50,Other Germany,3.7,14.04,7.3,Retail/Grocery,0,0,0,0,4.6
259,Paul,Braun,paul.braun259@example.com,Fitness & Gym-Goers,33,Other Germany,7.6,18.89,7.2,DTC Online,0,1,1,0,8.2
260,Jonas,Wagner,jonas.wagner260@example.com,Students & Budget-Conscious,19,Cologne,6.3,25.31,8.0,Retail/Grocery,1,1,1,0,7.4
261,Ida,Wagner,ida.wagner261@example.com,Students & Budget-Conscious,23,Other Germany,2.7,8.36,8.2,Retail/Grocery,1,1,1,0,2.1
262,Noah,Hoffmann,noah.hoffmann262@example.com,On-the-go Commuters,40,Other Germany,5.0,13.56,5.9,Gym & Office,1,1,0,0,8.1
263,Marie,Klein,marie.klein263@example.com,Fitness & Gym-Goers,26,Hamburg,6.9,13.33,4.8,Retail/Grocery,1,0,0,0,9.5
264,Emma,Klein,emma.klein264@example.com,On-the-go Commuters,45,Munich,2.4,27.49,4.9,Gym & Office,1,0,0,0,9.1
265,Ida,Zimmermann,ida.zimmermann265@example.com,Fitness & Gym-Goers,35,Cologne,3.1,10.1,4.2,Gym & Office,1,1,1,1,8.0
266,Noah,Klein,noah.klein266@example.com,Students & Budget-Conscious,20,Other Germany,4.1,26.94,7.7,Retail/Grocery,1,1,0,0,6.6
267,Leon,Schwarz,leon.schwarz267@example.com,Fitness & Gym-Goers,35,Other Germany,9.6,21.51,5.7,Retail/Grocery,0,0,0,0,6.6
268,Sofia,Schulz,sofia.schulz268@example.com,Urban Wellness Professionals,26,Berlin,5.7,33.08,1.9,Gym & Office,0,0,0,1,8.6
269,Noah,Fischer,noah.fischer269@example.com,Fitness & Gym-Goers,24,Munich,7.2,14.06,5.8,Gym & Office,0,1,1,1,7.6
270,Marie,Schmidt,marie.schmidt270@example.com,Urban Wellness Professionals,29,Berlin,4.3,25.49,3.8,Retail/Grocery,0,1,0,1,8.5
271,Nora,Hoffmann,nora.hoffmann271@example.com,On-the-go Commuters,41,Berlin,8.0,25.11,4.6,Retail/Grocery,1,1,1,0,8.1
272,Paul,Braun,paul.braun272@example.com,Urban Wellness Professionals,25,Berlin,10.1,26.87,3.6,DTC Online,0,1,0,1,9.1
273,Nora,Neumann,nora.neumann273@example.com,Students & Budget-Conscious,23,Munich,5.5,13.89,6.5,DTC Online,1,1,1,0,6.4
274,Mia,Schulz,mia.schulz274@example.com,On-the-go Commuters,42,Berlin,3.5,25.31,4.9,Retail/Grocery,1,0,0,0,6.2
275,Lea,Weber,lea.weber275@example.com,Fitness & Gym-Goers,20,Other Germany,7.3,23.55,4.4,Retail/Grocery,0,0,1,1,8.8
276,Anna,Schwarz,anna.schwarz276@example.com,Urban Wellness Professionals,37,Cologne,5.4,18.83,2.8,Retail/Grocery,0,0,1,0,8.5
277,Max,Fischer,max.fischer277@example.com,Students & Budget-Conscious,24,Other Germany,9.8,9.44,7.4,Retail/Grocery,1,1,0,0,7.7
278,Lea,Klein,lea.klein278@example.com,On-the-go Commuters,34,Other Germany,2.7,24.13,4.7,Retail/Grocery,0,0,0,1,5.2
279,Leon,Fischer,leon.fischer279@example.com,Students & Budget-Conscious,22,Hamburg,8.5,22.31,7.3,Retail/Grocery,1,1,1,0,5.0
280,Ida,Schmidt,ida.schmidt280@example.com,On-the-go Commuters,31,Berlin,1.4,23.75,7.8,Retail/Grocery,1,1,1,0,5.6
281,Ben,Wagner,ben.wagner281@example.com,Urban Wellness Professionals,35,Hamburg,8.0,25.65,3.4,DTC Online,0,0,1,1,10
282,Marie,Koch,marie.koch282@example.com,On-the-go Commuters,38,Berlin,2.7,15.84,6.5,Retail/Grocery,1,1,0,0,5.5
283,Noah,Fischer,noah.fischer283@example.com,On-the-go Commuters,40,Frankfurt,2.0,22.4,7.4,Retail/Grocery,0,1,1,1,7.3
284,Ida,Schwarz,ida.schwarz284@example.com,Urban Wellness Professionals,25,Other Germany,5.8,27.5,3.6,Gym & Office,0,0,1,1,9.9
285,Elias,Becker,elias.becker285@example.com,On-the-go Commuters,43,Other Germany,7.3,16.05,4.5,DTC Online,0,0,0,1,8.7
286,Ida,Becker,ida.becker286@example.com,Urban Wellness Professionals,39,Berlin,5.0,20.58,3.4,DTC Online,1,1,1,1,10
287,Lina,Schmidt,lina.schmidt287@example.com,On-the-go Commuters,36,Hamburg,5.8,29.65,7.8,DTC Online,1,0,0,0,8.0
288,Mia,Lange,mia.lange288@example.com,Urban Wellness Professionals,37,Hamburg,12.6,24.14,3.5,Retail/Grocery,1,0,0,1,10
289,Mia,Lange,mia.lange289@example.com,On-the-go Commuters,39,Berlin,5.2,22.64,5.4,DTC Online,1,1,0,0,8.4
290,Ida,Hoffmann,ida.hoffmann290@example.com,Urban Wellness Professionals,40,Cologne,6.0,24.34,2.7,Retail/Grocery,1,0,0,1,10
291,Clara,Weber,clara.weber291@example.com,Students & Budget-Conscious,19,Cologne,2.0,21.0,9.5,Retail/Grocery,1,1,0,0,1.2
292,Noah,Lange,noah.lange292@example.com,Urban Wellness Professionals,29,Other Germany,10.5,19.75,3.3,Retail/Grocery,1,1,1,1,10
293,Lea,Wagner,lea.wagner293@example.com,On-the-go Commuters,41,Other Germany,9.3,7.96,7.2,Retail/Grocery,0,1,0,0,4.2
294,Jonas,Lange,jonas.lange294@example.com,Urban Wellness Professionals,25,Other Germany,10.3,24.27,1.2,Gym & Office,0,0,1,0,9.6
295,Jonas,Becker,jonas.becker295@example.com,On-the-go Commuters,47,Frankfurt,9.5,21.86,5.9,Retail/Grocery,1,1,1,0,6.4
296,Anna,Schwarz,anna.schwarz296@example.com,Students & Budget-Conscious,22,Berlin,3.0,16.05,6.9,Retail/Grocery,1,1,0,0,7.4
297,Clara,Schulz,clara.schulz297@example.com,Urban Wellness Professionals,33,Other Germany,10.0,20.03,1.6,Retail/Grocery,1,1,1,0,10
298,Lina,Hoffmann,lina.hoffmann298@example.com,Fitness & Gym-Goers,21,Other Germany,7.0,20.9,6.8,Retail/Grocery,0,1,1,0,4.5
299,Max,Zimmermann,max.zimmermann299@example.com,On-the-go Commuters,29,Cologne,6.4,12.68,6.9,DTC Online,0,1,0,0,7.7
300,Noah,Krueger,noah.krueger300@example.com,On-the-go Commuters,26,Other Germany,6.9,14.74,5.2,Retail/Grocery,1,0,0,0,4.9
301,Anna,Hoffmann,anna.hoffmann301@example.com,Students & Budget-Conscious,18,Hamburg,5.4,8.33,8.9,Retail/Grocery,1,1,0,0,6.2
302,Sofia,Koch,sofia.koch302@example.com,Urban Wellness Professionals,36,Hamburg,6.8,31.18,2.8,DTC Online,0,1,1,1,9.3
303,Sofia,Peters,sofia.peters303@example.com,On-the-go Commuters,50,Cologne,3.2,13.26,6.7,Retail/Grocery,0,0,0,0,2.6
304,Sofia,Fischer,sofia.fischer304@example.com,Urban Wellness Professionals,25,Cologne,10.5,27.21,1.8,Retail/Grocery,0,1,1,0,10
305,Marie,Fischer,marie.fischer305@example.com,Students & Budget-Conscious,20,Berlin,5.0,16.27,7.2,DTC Online,1,0,0,0,6.8
306,Sofia,Schulz,sofia.schulz306@example.com,Fitness & Gym-Goers,25,Other Germany,9.9,22.79,5.8,Retail/Grocery,1,1,0,0,6.5
307,Lukas,Krueger,lukas.krueger307@example.com,Students & Budget-Conscious,24,Frankfurt,6.7,27.85,7.2,DTC Online,1,1,0,0,4.0
308,Jonas,Krueger,jonas.krueger308@example.com,Urban Wellness Professionals,29,Berlin,6.9,15.85,3.8,Retail/Grocery,0,1,1,1,10
309,Ida,Wagner,ida.wagner309@example.com,Students & Budget-Conscious,23,Munich,7.9,17.46,7.2,Retail/Grocery,1,0,0,0,7.8
310,Paul,Schwarz,paul.schwarz310@example.com,Students & Budget-Conscious,23,Other Germany,6.3,22.42,7.8,Retail/Grocery,1,1,1,0,7.0
311,Lea,Krueger,lea.krueger311@example.com,Urban Wellness Professionals,29,Other Germany,5.9,4,3.8,Retail/Grocery,0,0,0,1,9.5
312,Noah,Schmidt,noah.schmidt312@example.com,Fitness & Gym-Goers,19,Hamburg,7.6,21.45,5.7,Retail/Grocery,1,0,1,0,7.2
313,Max,Schulz,max.schulz313@example.com,Urban Wellness Professionals,38,Berlin,6.8,9.25,1.8,DTC Online,1,0,0,1,9.7
314,Lea,Hoffmann,lea.hoffmann314@example.com,Students & Budget-Conscious,22,Munich,2.4,12.18,6.1,Retail/Grocery,0,1,1,0,7.5
315,Clara,Richter,clara.richter315@example.com,Fitness & Gym-Goers,26,Other Germany,3.1,27.15,7.2,Retail/Grocery,1,1,0,1,5.9
316,Mia,Schulz,mia.schulz316@example.com,Students & Budget-Conscious,20,Other Germany,5.7,27.73,8.3,Retail/Grocery,1,1,0,1,6.4
317,Clara,Klein,clara.klein317@example.com,Students & Budget-Conscious,19,Berlin,8.1,13.46,8.3,Retail/Grocery,1,1,0,0,5.5
318,Leon,Richter,leon.richter318@example.com,On-the-go Commuters,39,Other Germany,6.0,27.66,5.3,Retail/Grocery,1,0,0,0,6.5
319,Paul,Krueger,paul.krueger319@example.com,Fitness & Gym-Goers,35,Munich,6.5,18.17,3.2,Gym & Office,1,1,0,0,9.8
320,Felix,Krueger,felix.krueger320@example.com,Urban Wellness Professionals,40,Frankfurt,10.8,26.48,2.8,Retail/Grocery,0,1,0,1,8.2
321,Clara,Schwarz,clara.schwarz321@example.com,Students & Budget-Conscious,23,Other Germany,5.7,11.55,8.1,Gym & Office,1,0,1,0,4.1
322,Mia,Hoffmann,mia.hoffmann322@example.com,Urban Wellness Professionals,33,Hamburg,7.8,16.21,3.9,Retail/Grocery,0,1,1,0,9.9
323,Lea,Braun,lea.braun323@example.com,Students & Budget-Conscious,18,Munich,3.6,21.03,7.9,Retail/Grocery,1,0,0,0,6.9
324,Lea,Schmidt,lea.schmidt324@example.com,On-the-go Commuters,35,Berlin,8.0,16.08,5.9,Gym & Office,1,1,1,0,6.5
325,Lina,Koch,lina.koch325@example.com,Fitness & Gym-Goers,30,Other Germany,5.7,10.31,5.5,Retail/Grocery,0,0,1,0,8.5
326,Leon,Lange,leon.lange326@example.com,Urban Wellness Professionals,26,Other Germany,8.3,19.85,4.6,DTC Online,0,0,1,1,10
327,Finn,Schwarz,finn.schwarz327@example.com,Students & Budget-Conscious,24,Munich,4.7,26.93,8.0,Retail/Grocery,1,1,1,0,6.1
328,Lukas,Schmidt,lukas.schmidt328@example.com,Students & Budget-Conscious,22,Hamburg,6.2,14.71,7.5,Retail/Grocery,1,0,0,0,5.5
329,Clara,Neumann,clara.neumann329@example.com,On-the-go Commuters,48,Munich,4.6,28.99,5.8,Retail/Grocery,1,1,0,0,7.4
330,Max,Peters,max.peters330@example.com,Urban Wellness Professionals,39,Munich,8.9,11.3,4.4,DTC Online,0,0,1,0,10
331,Max,Koch,max.koch331@example.com,On-the-go Commuters,44,Other Germany,6.8,30.74,5.8,Retail/Grocery,1,0,1,0,6.3
332,Nora,Fischer,nora.fischer332@example.com,Urban Wellness Professionals,35,Berlin,7.1,19.7,6.4,DTC Online,1,1,0,1,8.3
333,Ben,Fischer,ben.fischer333@example.com,Urban Wellness Professionals,33,Berlin,6.2,11.35,6.4,Retail/Grocery,0,0,1,0,5.1
334,Lukas,Richter,lukas.richter334@example.com,On-the-go Commuters,36,Other Germany,6.5,23.76,3.9,Retail/Grocery,1,1,1,0,7.4
335,Noah,Peters,noah.peters335@example.com,Students & Budget-Conscious,23,Munich,2.9,23.55,8.0,Retail/Grocery,1,0,0,0,6.7
336,Noah,Peters,noah.peters336@example.com,Students & Budget-Conscious,21,Cologne,4.3,11.71,9.4,Gym & Office,1,1,0,0,5.6
337,Emma,Schwarz,emma.schwarz337@example.com,Fitness & Gym-Goers,25,Frankfurt,1.6,19.49,5.8,Gym & Office,1,0,0,0,10
338,Ben,Schulz,ben.schulz338@example.com,Urban Wellness Professionals,34,Berlin,6.8,26.83,3.7,DTC Online,0,0,0,1,7.5
339,Sofia,Neumann,sofia.neumann339@example.com,Students & Budget-Conscious,20,Berlin,3.6,15.48,8.8,DTC Online,1,1,1,0,6.2
340,Ida,Wagner,ida.wagner340@example.com,Urban Wellness Professionals,40,Other Germany,6.7,23.41,2.6,DTC Online,1,0,1,0,8.3
341,Ben,Weber,ben.weber341@example.com,Urban Wellness Professionals,28,Other Germany,5.7,31.68,2.3,DTC Online,0,1,0,1,10
342,Max,Lange,max.lange342@example.com,Fitness & Gym-Goers,30,Other Germany,6.8,19.39,6.7,Gym & Office,1,0,1,1,6.4
343,Lea,Becker,lea.becker343@example.com,Urban Wellness Professionals,38,Other Germany,7.9,18.18,2.6,Retail/Grocery,0,0,1,1,10
344,Jonas,Zimmermann,jonas.zimmermann344@example.com,Urban Wellness Professionals,27,Berlin,8.5,19.04,2.9,Retail/Grocery,1,1,0,0,10
345,Ben,Schulz,ben.schulz345@example.com,Fitness & Gym-Goers,32,Berlin,5.3,20.38,5.2,Retail/Grocery,1,0,1,0,7.5
346,Finn,Klein,finn.klein346@example.com,Students & Budget-Conscious,20,Other Germany,5.3,19.12,7.7,Retail/Grocery,1,1,0,0,7.4
347,Clara,Lange,clara.lange347@example.com,Students & Budget-Conscious,23,Other Germany,4.9,13.43,8.8,DTC Online,1,0,1,0,7.5
348,Paul,Wagner,paul.wagner348@example.com,Students & Budget-Conscious,24,Other Germany,4.5,11.43,10,Retail/Grocery,0,1,1,0,3.3
349,Lina,Peters,lina.peters349@example.com,Urban Wellness Professionals,30,Munich,7.0,22.94,3.7,DTC Online,1,1,1,1,10
350,Nora,Richter,nora.richter350@example.com,Fitness & Gym-Goers,25,Other Germany,3.3,28.45,6.2,DTC Online,1,0,1,1,5.3
351,Clara,Lange,clara.lange351@example.com,On-the-go Commuters,46,Berlin,4.5,14.18,7.7,Retail/Grocery,1,0,0,0,4.9
352,Ida,Peters,ida.peters352@example.com,Urban Wellness Professionals,31,Other Germany,6.2,29.59,3.1,Gym & Office,0,1,0,0,10
353,Leon,Peters,leon.peters353@example.com,Fitness & Gym-Goers,23,Munich,5.6,14.37,6.1,Retail/Grocery,0,0,1,0,10
354,Emma,Wagner,emma.wagner354@example.com,Urban Wellness Professionals,33,Berlin,7.5,31.1,3.7,Retail/Grocery,0,0,1,1,9.4
355,Nora,Krueger,nora.krueger355@example.com,Students & Budget-Conscious,24,Cologne,3.3,21.4,7.7,Retail/Grocery,1,1,0,1,4.2
356,Emma,Schulz,emma.schulz356@example.com,Students & Budget-Conscious,21,Munich,5.8,26.01,10,Retail/Grocery,1,1,1,0,3.9
357,Marie,Schwarz,marie.schwarz357@example.com,Students & Budget-Conscious,23,Other Germany,3.7,12.95,6.4,Gym & Office,1,1,0,0,5.3
358,Clara,Schmidt,clara.schmidt358@example.com,Students & Budget-Conscious,19,Cologne,4.9,17.6,6.5,Retail/Grocery,1,1,0,0,6.0
359,Lea,Braun,lea.braun359@example.com,Urban Wellness Professionals,26,Other Germany,5.0,21.62,4.2,Retail/Grocery,0,0,1,1,8.6
360,Emma,Braun,emma.braun360@example.com,Urban Wellness Professionals,30,Cologne,7.7,16.07,4.5,DTC Online,0,1,0,0,7.2
361,Nora,Hoffmann,nora.hoffmann361@example.com,Students & Budget-Conscious,23,Hamburg,6.8,19.58,7.1,DTC Online,1,1,0,0,2.7
362,Lina,Klein,lina.klein362@example.com,Fitness & Gym-Goers,31,Munich,5.8,23.74,5.0,Retail/Grocery,1,0,0,0,8.9
363,Ida,Krueger,ida.krueger363@example.com,Students & Budget-Conscious,21,Munich,6.3,18.07,6.7,Gym & Office,1,0,0,0,6.1
364,Lukas,Becker,lukas.becker364@example.com,Students & Budget-Conscious,18,Other Germany,2.0,17.77,9.2,Gym & Office,1,1,1,0,3.6
365,Lina,Neumann,lina.neumann365@example.com,Fitness & Gym-Goers,35,Berlin,5.6,17.85,6.0,Gym & Office,1,0,1,1,9.0
366,Marie,Lange,marie.lange366@example.com,Students & Budget-Conscious,23,Other Germany,6.1,18.45,7.2,DTC Online,0,1,1,0,6.4
367,Marie,Richter,marie.richter367@example.com,Fitness & Gym-Goers,27,Hamburg,7.3,24.26,1.3,Retail/Grocery,1,0,1,1,10
368,Anna,Wagner,anna.wagner368@example.com,Fitness & Gym-Goers,27,Other Germany,5.8,26.37,7.3,Retail/Grocery,0,0,1,0,8.8
369,Elias,Richter,elias.richter369@example.com,Fitness & Gym-Goers,18,Other Germany,4.4,14.58,5.8,Gym & Office,0,0,1,0,7.7
370,Marie,Krueger,marie.krueger370@example.com,Students & Budget-Conscious,19,Munich,2.2,9.81,10,DTC Online,0,1,1,0,2.8
371,Elias,Wolf,elias.wolf371@example.com,Urban Wellness Professionals,26,Other Germany,7.2,18.62,3.3,Gym & Office,0,1,1,0,9.2
372,Noah,Schwarz,noah.schwarz372@example.com,Urban Wellness Professionals,37,Other Germany,8.1,23.86,3.7,Gym & Office,0,1,1,0,8.3
373,Elias,Hoffmann,elias.hoffmann373@example.com,Urban Wellness Professionals,34,Munich,8.7,23.03,5.2,DTC Online,1,0,1,1,5.4
374,Elias,Wolf,elias.wolf374@example.com,On-the-go Commuters,48,Other Germany,8.4,23.56,7.6,DTC Online,1,0,0,0,2.6
375,Lukas,Fischer,lukas.fischer375@example.com,Urban Wellness Professionals,25,Munich,11.6,33.22,2.1,Retail/Grocery,1,0,0,1,10
376,Marie,Braun,marie.braun376@example.com,Students & Budget-Conscious,20,Munich,3.8,19.12,7.5,Gym & Office,1,1,0,0,6.3
